record_id,location_id,source_id,time_of_record,visit_count,time_in_queue,assigned_employee_id
21896,AkHa00000,AkHa00000224,"2021-11-30 11:20:00",1,0,28
9514,AkHa00001,AkHa00001224,"2021-05-27 13:26:00",1,0,1
54843,AkHa00002,AkHa00002224,"2023-04-18 13:44:00",1,0,5
2550,AkHa00003,AkHa00003224,"2021-02-10 14:34:00",1,0,42
31721,AkHa00004,AkHa00004224,"2022-04-29 09:46:00",1,0,46
21704,AkHa00005,AkHa00005224,"2021-11-26 11:18:00",1,0,2
25553,AkHa00006,AkHa00006224,"2022-01-25 11:35:00",1,0,24
22378,AkHa00007,AkHa00007224,"2021-12-07 13:31:00",1,0,48
57788,AkHa00008,AkHa00008224,"2023-06-02 12:54:00",1,0,7
51643,AkHa00009,AkHa00009224,"2023-03-01 16:25:00",1,0,14
10392,AkHa00010,AkHa00010224,"2021-06-09 09:37:00",1,0,10
52987,AkHa00011,AkHa00011224,"2023-03-22 09:54:00",1,0,30
36385,AkHa00012,AkHa00012224,"2022-07-06 14:12:00",1,0,38
45032,AkHa00013,AkHa00013224,"2022-11-15 16:12:00",1,26,7
20135,AkHa00014,AkHa00014224,"2021-11-03 12:17:00",1,0,36
4308,AkHa00015,AkHa00015224,"2021-03-09 13:02:00",1,0,30
28514,AkHa00016,AkHa00016224,"2022-03-11 16:00:00",1,0,34
46374,AkHa00017,AkHa00017224,"2022-12-06 12:08:00",1,0,5
19644,AkHa00018,AkHa00018224,"2021-10-27 12:38:00",1,0,34
40067,AkHa00019,AkHa00019224,"2022-08-31 14:10:00",1,0,34
26565,AkHa00020,AkHa00020224,"2022-02-09 15:18:00",1,0,3
13404,AkHa00021,AkHa00021224,"2021-07-23 11:02:00",1,0,3
13171,AkHa00022,AkHa00022224,"2021-07-20 11:05:00",1,0,10
6093,AkHa00023,AkHa00023224,"2021-04-06 14:55:00",1,0,1
36271,AkHa00024,AkHa00024224,"2022-07-05 13:02:00",1,0,3
53449,AkHa00025,AkHa00025224,"2023-03-28 11:10:00",1,0,30
51056,AkHa00026,AkHa00026224,"2023-02-20 13:51:00",1,0,30
45274,AkHa00027,AkHa00027224,"2022-11-18 14:40:00",1,0,34
17509,AkHa00028,AkHa00028224,"2021-09-23 14:42:00",1,0,12
4681,AkHa00029,AkHa00029224,"2021-03-15 15:17:00",1,0,2
48514,AkHa00030,AkHa00030224,"2023-01-06 16:12:00",1,0,42
